,precision,recall,f1-score,support
IT_LSASS_Dump,1,1,1,62
IT_Powershell_based64,0.949152542372881,0.949152542372881,0.949152542372881,59
IT_Ransomware,0.870967741935484,0.947368421052632,0.907563025210084,57
OT_CommandInjection,1,0.909090909090909,0.952380952380952,55
OT_RemoteAccess,1,0.920634920634921,0.958677685950413,63
normal,0.979757085020243,1,0.989775051124744,242
accuracy,0.970260223048327,0.970260223048327,0.970260223048327,0.970260223048327
macro avg,0.966646228221435,0.954374465525224,0.959591542839846,538
weighted avg,0.971647538782939,0.970260223048327,0.970323980306675,538
